timestamp,index_type,batch_index,n_keys,rebuild_ns
20260820080637,alex,1,100000000,2.98761e+10
20260820080811,alex,3,150000000,4.30866e+10
20260820081007,alex,5,200000000,5.68857e+10
20260820095039,lipp,1,100000000,7.38659e+09
20260820095138,lipp,3,150000000,1.02449e+10
20260820095246,lipp,5,200000000,1.20288e+10
20260820095456,dili,1,100000000,1.47536e+10
20260820095605,dili,3,150000000,2.08825e+10
20260820095724,dili,5,200000000,2.61028e+10
20260820095934,artunsync,1,100000000,9.41992e+09
20260820100043,artunsync,3,150000000,1.30904e+10
20260820100159,artunsync,5,200000000,1.61614e+10
20260820100420,btree,1,100000000,2.01633e+09
20260820100552,btree,3,150000000,2.96065e+09
20260820100735,btree,5,200000000,4.03397e+09
