timestamp,index_type,batch_index,n_keys,rebuild_ns
20260820122659,alex,1,100000000,4.15163e+10
20260820122916,alex,3,150000000,6.23808e+10
20260820123208,alex,5,200000000,8.42725e+10
20260820123436,lipp,1,100000000,1.26031e+10
20260820123610,lipp,3,150000000,1.88895e+10
20260820123759,lipp,5,200000000,2.51912e+10
20260820124027,dili,1,100000000,1.93285e+10
20260820124157,dili,3,150000000,2.80202e+10
20260820124345,dili,5,200000000,3.67233e+10
20260820124559,artunsync,1,100000000,9.11628e+09
20260820124719,artunsync,3,150000000,1.36174e+10
20260820124852,artunsync,5,200000000,1.8005e+10
20260820125113,btree,1,100000000,1.96527e+09
20260820125245,btree,3,150000000,2.97463e+09
20260820125429,btree,5,200000000,4.01263e+09
