timestamp,index_type,batch_index,n_keys,rebuild_ns
20260820072424,alex,1,100000000,2.98425e+10
20260820072558,alex,3,150000000,4.28605e+10
20260820072755,alex,5,200000000,5.71355e+10
20260820091242,lipp,1,100000000,7.49372e+09
20260820091342,lipp,3,150000000,1.03716e+10
20260820091449,lipp,5,200000000,1.1997e+10
20260820091659,dili,1,100000000,1.47336e+10
20260820091808,dili,3,150000000,2.07567e+10
20260820091929,dili,5,200000000,2.5952e+10
20260820092139,artunsync,1,100000000,9.39634e+09
20260820092247,artunsync,3,150000000,1.29149e+10
20260820092404,artunsync,5,200000000,1.59894e+10
20260820092625,btree,1,100000000,2.02599e+09
20260820092757,btree,3,150000000,2.95171e+09
20260820092942,btree,5,200000000,4.02175e+09
