timestamp,index_type,batch_index,n_keys,rebuild_ns
20260820141152,alex,1,100000000,4.15164e+10
20260820141409,alex,3,150000000,6.26607e+10
20260820141659,alex,5,200000000,8.38616e+10
20260820141928,lipp,1,100000000,1.26831e+10
20260820142101,lipp,3,150000000,1.8906e+10
20260820142251,lipp,5,200000000,2.51796e+10
20260820142520,dili,1,100000000,1.98312e+10
20260820142650,dili,3,150000000,2.81895e+10
20260820142838,dili,5,200000000,3.69229e+10
20260820143052,artunsync,1,100000000,9.10363e+09
20260820143213,artunsync,3,150000000,1.36426e+10
20260820143346,artunsync,5,200000000,1.80259e+10
20260820143608,btree,1,100000000,2.02176e+09
20260820143739,btree,3,150000000,2.99419e+09
20260820143923,btree,5,200000000,3.93605e+09
